run_id,timestamp,machine_name,machine_model,git_branch,git_sha,git_state,worktree_fingerprint,metric,terminal_host,workspace_scope,sample_count,avg_ms,min_ms,max_ms,samples_ms
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,external_app.keyboard_toggle_main_window.main_window,ghostty,single,5,122.6,114,130,"130,130,124,114,115"
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,external_app.keyboard_toggle_main_window.main_window,iterm2,single,5,133.2,117,164,"118,133,134,117,164"
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,main_window.keyboard_toggle_main_window.external_app,ghostty,single,5,0.2,0,1,"0,0,0,1,0"
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,main_window.keyboard_toggle_main_window.external_app,iterm2,single,5,0.0,0,0,"0,0,0,0,0"
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,spaces_detail_ui.keyboard_window_shortcut.browser_tracked_tab,ghostty,single,1,129.0,129,129,129
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,spaces_detail_ui.keyboard_window_shortcut.browser_tracked_tab,iterm2,single,1,132.0,132,132,132
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,spaces_detail_ui.keyboard_window_shortcut.process_tracked_tab,ghostty,single,1,134.0,134,134,134
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,spaces_detail_ui.keyboard_window_shortcut.process_tracked_tab,iterm2,single,1,209.0,209,209,209
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,ghostty,primary,1,130.0,130,130,130
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,ghostty,secondary,1,130.0,130,130,130
